route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
15191,7,110,בית עלמין/מעלה יצחק-נצרת עילית<->מפעלי העמק-עמק יזרעאל-1#,15110-1-#,3,
15192,7,110,מפעלי העמק-מגדל העמק<->תבור/קישון-נצרת עילית-2#,15110-2-#,3,
1427,7,29,בסיס מחווה אלון-מרום הגליל<->פאולוס השישי/6177-נצרת-2#,16029-2-#,3,
1489,7,53,בי''ס יסודי א/שכ' מערבית דרומית 4-מגאר<->בי''ס מקיף א-מגאר-1ב,16053-1-ב,3,FF9933
1491,7,53,ח'לת שריף 1-מגאר<->בי''ס מקיף א-מגאר-1ד,16053-1-ד,3,FF9933
1494,7,53,ראס אלח'אביה 1-מגאר<->בי''ס מקיף א-מגאר-1ז,16053-1-ז,3,FF9933
11497,7,53,מגאר ג'/מרכז-מגאר<->בי''ס מקיף א-מגאר-1ט,16053-1-ט,3,FF9933
1421,7,58,דייר חנא 9-דייר חנא<->תחנה מרכזית-נצרת-2#,16058-2-#,3,
1529,7,60,תחנה לבריאות המשפחה-דייר חנא<->מתחם ביג כרמיאל-כרמיאל-1#,16060-1-#,3,
1532,7,60,תחנה לבריאות המשפחה-דייר חנא<->מתחם ביג כרמיאל-כרמיאל-1ג,16060-1-ג,3,
